Player,Nation,Pos,Age,MP,Starts,Min,Gls,Ast,G+A,PK,CrdY,CrdR,xG,xAG,Team
Massadio Haïdara,ml MLI,"DF,MF",31,0,0,,,,,,,,,,Lens
Hervé Koffi,bf BFA,GK,28,0,0,,,,,,,,,,Lens
Denis Petrić,rs SRB,GK,36,0,0,,,,,,,,,,Lens
Squad Total,,,,11,121,990.0,11.0,4.0,15.0,2.0,29.0,3.0,16.8,10.4,Lens
Lucas Chevalier,fr FRA,GK,23,11,11,990.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lille
Bafodé Diakité,fr FRA,DF,23,11,11,990.0,1.0,1.0,2.0,0.0,2.0,0.0,0.9,0.1,Lille
Alexsandro Ribeiro,br BRA,DF,25,9,9,810.0,0.0,1.0,1.0,0.0,3.0,0.0,0.5,0.1,Lille
Benjamin André,fr FRA,MF,34,9,9,802.0,0.0,1.0,1.0,0.0,5.0,0.0,0.9,0.7,Lille
Edon Zhegrova,xk KVX,"FW,MF",25,9,9,765.0,3.0,1.0,4.0,0.0,1.0,0.0,1.4,2.1,Lille
Jonathan David,ca CAN,FW,24,11,8,823.0,7.0,0.0,7.0,2.0,2.0,0.0,5.9,0.3,Lille
Gabriel Gudmundsson,se SWE,DF,25,11,8,697.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.8,Lille
Angel Gomes,eng ENG,MF,24,10,8,612.0,1.0,1.0,2.0,0.0,1.0,0.0,1.7,2.1,Lille
Osame Sahraoui,ma MAR,"FW,MF",23,10,7,643.0,0.0,3.0,3.0,0.0,1.0,0.0,0.5,2.5,Lille
Thomas Meunier,be BEL,DF,33,10,7,595.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,Lille
Aïssa Mandi,dz ALG,DF,33,7,6,525.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Lille
André Gomes,pt POR,MF,31,5,5,356.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1,Lille
Tiago Santos,pt POR,DF,22,7,4,404.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,0.6,Lille
Ngal'Ayel Mukau,cd COD,MF,19,7,3,332.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,Lille
